16/07/2019 - 11:31:00 PM	[HURT] BexGasm(Robber) hurt William(Citizen) with 54 damage using fas2_galil
16/07/2019 - 11:31:00 PM	[HURT] BexGasm(Robber) hurt William(Citizen) with 54 damage using fas2_galil
16/07/2019 - 11:31:01 PM	[HURT] BexGasm(Robber) hurt William(Citizen) with 54 damage using fas2_galil
16/07/2019 - 11:31:01 PM	[HURT] BexGasm(Robber) hurt William(Citizen) with 27 damage using fas2_galil
16/07/2019 - 11:31:01 PM	[HURT] BexGasm(Robber) hurt William(Citizen) with 27 damage using fas2_galil
16/07/2019 - 11:31:01 PM	Blumbing(Gun Dealer) said '/buyshipment Sako RK-95'
16/07/2019 - 11:31:01 PM	Blumbing(Gun Dealer) bought 'Sako RK-95' shipment for $7500
16/07/2019 - 11:31:01 PM	William(Citizen) said 'can u become a mod on duty now?'
16/07/2019 - 11:31:01 PM	[HURT] BexGasm(Robber) hurt William(Citizen) with 54 damage using fas2_galil
16/07/2019 - 11:31:01 PM	[HURT] BexGasm(Robber) hurt William(Citizen) with 54 damage using fas2_galil
16/07/2019 - 11:31:01 PM	[HURT] BexGasm(Robber) hurt William(Citizen) with 54 damage using fas2_galil
16/07/2019 - 11:31:02 PM	[HURT] BexGasm(Robber) hurt William(Citizen) with 54 damage using fas2_galil
16/07/2019 - 11:31:02 PM	[HURT] BexGasm(Robber) hurt William(Citizen) with 54 damage using fas2_galil
16/07/2019 - 11:31:03 PM	[HURT] BexGasm(Robber) hurt William(Citizen) with 54 damage using fas2_galil
16/07/2019 - 11:31:03 PM	[HURT] BexGasm(Robber) hurt William(Citizen) with 54 damage using fas2_galil
16/07/2019 - 11:31:03 PM	[HURT] BexGasm(Robber) hurt William(Citizen) with 54 damage using fas2_galil
16/07/2019 - 11:31:06 PM	Blumbing(Gun Dealer) said '/buyshipment Galil'
16/07/2019 - 11:31:06 PM	Blumbing(Gun Dealer) bought 'Galil' shipment for $6000
16/07/2019 - 11:31:12 PM	[HURT] BexGasm(Robber) hurt William(Citizen) with 54 damage using fas2_galil
16/07/2019 - 11:31:12 PM	[HURT] BexGasm(Robber) hurt William(Citizen) with 54 damage using fas2_galil
16/07/2019 - 11:31:12 PM	[HURT] BexGasm(Robber) hurt William(Citizen) with 54 damage using fas2_galil
16/07/2019 - 11:31:13 PM	[HURT] BexGasm(Robber) hurt William(Citizen) with 54 damage using fas2_galil
16/07/2019 - 11:31:14 PM	Dio(Moderator on Duty) changed his team from 'Admin On Duty' to 'Moderator on Duty'
16/07/2019 - 11:31:18 PM	William(Citizen) said 'nice'
16/07/2019 - 11:31:21 PM	[HURT] BexGasm(Robber) hurt William(Citizen) with 54 damage using fas2_galil
16/07/2019 - 11:31:24 PM	Dio(Admin On Duty) changed his team from 'Moderator on Duty' to 'Admin On Duty'
16/07/2019 - 11:31:25 PM	[HURT] BexGasm(Robber) hurt William(Citizen) with 54 damage using fas2_galil
16/07/2019 - 11:31:26 PM	[HURT] BexGasm(Robber) hurt Dio(Admin On Duty) with 27 damage using fas2_galil
16/07/2019 - 11:31:26 PM	[HURT] BexGasm(Robber) hurt Dio(Admin On Duty) with 54 damage using fas2_galil
16/07/2019 - 11:31:26 PM	[HURT] BexGasm(Robber) hurt Dio(Admin On Duty) with 54 damage using fas2_galil
16/07/2019 - 11:31:26 PM	[HURT] BexGasm(Robber) hurt Dio(Admin On Duty) with 54 damage using fas2_galil
16/07/2019 - 11:31:28 PM	[HURT] BexGasm(Robber) hurt William(Citizen) with 27 damage using fas2_galil
16/07/2019 - 11:31:28 PM	[HURT] BexGasm(Robber) hurt (͠≖ ͜ʖ͠≖) (DC)(Robber) with 27 damage using fas2_galil
16/07/2019 - 11:31:29 PM	Blumbing(Robber) changed his team from 'Gun Dealer' to 'Robber'
16/07/2019 - 11:31:32 PM	William(Citizen) said 'no u can shoot ur gun in spawn'
16/07/2019 - 11:31:42 PM	BexGasm(Robber) entered 'gm_giveswep'
16/07/2019 - 11:31:42 PM	BexGasm(Robber) entered 'gm_giveswep'
16/07/2019 - 11:32:09 PM	[HURT] The world hurt UG | M A S T E R(Citizen) with 40 damage using fall damage
16/07/2019 - 11:32:11 PM	UG | M A S T E R(Citizen) said ':)'
16/07/2019 - 11:32:18 PM	UG | M A S T E R(Citizen) said ':grin:'
16/07/2019 - 11:32:33 PM	Blumbing(SWAT Operator) changed his team from 'Robber' to 'SWAT Operator'
16/07/2019 - 11:32:34 PM	BexGasm(Robber) said ':kami:'
16/07/2019 - 11:32:50 PM	Blumbing(Robber) changed his team from 'SWAT Operator' to 'Robber'
16/07/2019 - 11:32:52 PM	Dio(Admin On Duty) entered 'gm_giveswep'
16/07/2019 - 11:32:59 PM	[HURT] The world hurt Blumbing(Robber) with 52 damage using fall damage
16/07/2019 - 11:33:04 PM	UG | M A S T E R(Citizen) used 'inflator'
16/07/2019 - 11:33:04 PM	UG | M A S T E R(Citizen) used 'inflator'
16/07/2019 - 11:33:04 PM	UG | M A S T E R(Citizen) used 'inflator'
16/07/2019 - 11:33:04 PM	UG | M A S T E R(Citizen) used 'inflator'
16/07/2019 - 11:33:04 PM	UG | M A S T E R(Citizen) used 'inflator'
16/07/2019 - 11:33:04 PM	UG | M A S T E R(Citizen) used 'inflator'
16/07/2019 - 11:33:04 PM	UG | M A S T E R(Citizen) used 'inflator'
16/07/2019 - 11:33:04 PM	UG | M A S T E R(Citizen) used 'inflator'
16/07/2019 - 11:33:04 PM	UG | M A S T E R(Citizen) used 'inflator'
16/07/2019 - 11:33:04 PM	UG | M A S T E R(Citizen) used 'inflator'
16/07/2019 - 11:33:04 PM	UG | M A S T E R(Citizen) used 'inflator'
16/07/2019 - 11:33:04 PM	UG | M A S T E R(Citizen) used 'inflator'
16/07/2019 - 11:33:04 PM	UG | M A S T E R(Citizen) used 'inflator'
16/07/2019 - 11:33:04 PM	UG | M A S T E R(Citizen) used 'inflator'
16/07/2019 - 11:33:04 PM	UG | M A S T E R(Citizen) used 'inflator'
16/07/2019 - 11:33:04 PM	UG | M A S T E R(Citizen) used 'inflator'
16/07/2019 - 11:33:04 PM	UG | M A S T E R(Citizen) used 'inflator'
16/07/2019 - 11:33:04 PM	UG | M A S T E R(Citizen) used 'inflator'
16/07/2019 - 11:33:04 PM	UG | M A S T E R(Citizen) used 'inflator'
16/07/2019 - 11:33:04 PM	UG | M A S T E R(Citizen) used 'inflator'
16/07/2019 - 11:33:04 PM	UG | M A S T E R(Citizen) used 'inflator'
16/07/2019 - 11:33:04 PM	UG | M A S T E R(Citizen) used 'inflator'
16/07/2019 - 11:33:04 PM	UG | M A S T E R(Citizen) used 'inflator'
16/07/2019 - 11:33:04 PM	UG | M A S T E R(Citizen) used 'inflator'
16/07/2019 - 11:33:04 PM	UG | M A S T E R(Citizen) used 'inflator'
16/07/2019 - 11:33:04 PM	UG | M A S T E R(Citizen) used 'inflator'
